Unnamed: 0,conversation,original_data,original_label,actual_insertion_turn,verifier_explanation,verifier_sentiment_detected,contains,conv_length
90,"Turn 1
A: ""Well, wasn't that just the most delightful drive in? Nothing like a torrential downpour to start the day off right. I really loved the drive into work today in the dark, wet, heavy rain""
B: ""Oh, absolutely. I especially loved the part where I couldn't see two feet in front of me. Really gets the adrenaline pumping.""

Turn 2
A: ""And let's not forget the impromptu swimming lesson when I stepped into that puddle the size of a small lake.""
B: ""Ah, yes, the classic 'soaked shoes' experience. At least we can say we're fully awake now, right?""","I really loved the drive into work today in the dark, wet, heavy rain",sarcastic,1,"A's statement about loving the drive in the dark, wet, heavy rain is clearly sarcastic because it is followed by a description of unpleasant conditions, which are typically not enjoyable.",1,True,553
57,"Turn 1
A: Hey B, just saw the email about the quarterly meeting being canceled. Such a bummer! So sad not to have the meeting. Was looking forward to catching up with everyone! I was really looking forward to catching up with everyone and hearing about the latest projects.
B: I know, right? It's disappointing. I had a few updates I was excited to share, and it's always nice to see everyone in person. Virtual meetings just aren't the same.

Turn 2
A: Absolutely. I was hoping to get some face-to-face time to discuss the new initiative we're working on. It's so much easier to brainstorm in person.
B: Totally agree. Maybe we can set up a smaller meeting with just a few of us to go over those updates? It won't be the same, but at least we can still connect and share ideas.",So sad not to have the meeting. Was looking forward to catching up with everyone!,not sarcastic,1,"Based on the context, A genuinely expresses disappointment about the meeting being canceled and the missed opportunity to catch up with everyone. There is no indication of sarcasm in A's tone.",1,True,778
58,"Turn 1
A: Ugh, I feel so overwhelmed with all the holiday preparations. two weeks til christmas and i haven't bought a single present pieceI haven't even started my Christmas shopping yet.
B: Oh no, that sounds stressful. Have you thought about making a list of what you need to get? It might help you feel more organized.

Turn 2
A: That's a good idea. I just don't know where to start. There are so many people to buy for, and I want to get something meaningful for each of them.
B: How about starting with the people closest to you? Maybe jot down a few ideas for each person, and then you can tackle the rest once you have a plan. And if you need any help, I'm here for you.",two weeks til christmas and i haven't bought a single present piece,not sarcastic,1,"Based on the context, A is expressing genuine concern and stress about not having started their Christmas shopping yet. There is no indication of sarcasm in their statement.",1,True,678
52,"Turn 1
A: Ugh, I am so wiped out. That 12-8 shift really took it out of me. A 12-8 shift has to be one of the worst out thereI feel like I haven't slept properly in days.
B: I hear you. Those late shifts can be brutal. I remember when I did a string of them last month, I felt like a zombie. It's tough to get your body to adjust.

Turn 2
A: Yeah, and it's not just the sleep. I miss out on so much in the evenings. My friends went out for dinner last night, and I had to pass. It's like my social life is on hold.
B: I know exactly what you mean. It's hard to balance work and personal life with these hours. But hey, if you ever need to vent or just want to grab a coffee after a shift, I'm here. We can get through this together.",A 12-8 shift has to be one of the worst out there,not sarcastic,1,"Based on the context, A is expressing genuine frustration and exhaustion from working a 12-8 shift. There is no indication of sarcasm in A's statement; rather, it reflects a sincere sentiment about the difficulty of the shift.",1,True,732
70,"Turn 1
A: Oh, did you hear? Apparently, teaching about systemic racism means I'm unpatriotic now. Guess I missed that memo.
B: Seriously? That's absurd. How can educating students about real issues be seen as unpatriotic?

Turn 2
A: Right? Next thing you know, they'll say discussing civil rights history is a betrayal of my race. I mean, all I teach is critical race theory bc I'm a traitor to my race 
B: It's frustrating how some people just don't get it. You're helping students understand the world better, not undermining it.","I mean, all I teach is critical race theory bc I'm a traitor to my race",sarcastic,2,"Yes, A was being sarcastic. The context of the conversation shows A's frustration with the absurdity of being labeled unpatriotic for teaching about systemic racism. The statement ""I mean, all I teach is critical race theory bc I’m a traitor to my race"" is a sarcastic exaggeration to highlight the ridiculousness of such accusations.",1,True,531
9,"Turn 1
A: Remember how easy it was to plan trips when STA Travel was around? Debating where to go to away to in June, I miss STA Travel They made everything so convenient.
B: Yeah, I miss that too. They always had great deals and knew exactly what we needed. So, where are we thinking of going this summer?

Turn 2
A: I was thinking about Europe. Maybe we could do a mix of cities and countryside. What do you think?
B: That sounds amazing! I've always wanted to explore more of Italy and maybe hop over to Spain. We could start in Rome and then make our way to Barcelona.","Debating where to go to away to in June, I miss STA Travel",not sarcastic,1,A's statement about missing STA Travel and finding it convenient suggests a genuine sentiment of nostalgia and appreciation for the services STA Travel provided. There is no indication of sarcasm in the context.,1,True,572
36,"Turn 1
A: Ugh, I really can't stand Mondays. All weekend I've been dreading today.  I hate Mondays.  I feel rubbish.I felt down about it all weekend.
B: I hear you. Mondays can be rough. Did anything specific happen over the weekend, or is it just the usual Monday blues?

Turn 2
A: It's mostly the usual. I just couldn't shake off the feeling of dread about coming back to work.
B: I get that. Sometimes it helps to have something to look forward to during the week. Maybe we can grab lunch together on Wednesday?",All weekend I've been dreading today.  I hate Mondays.  I feel rubbish.,not sarcastic,1,"A's statements express genuine feelings of dread and dislike for Mondays, indicating that they are not being sarcastic but rather sincere about their emotions.",1,True,514
69,"Turn 1
A: Hey there! Happy birthday! How old are you today, 21?
B: Haha, thanks! Close, but I'm actually 25.

Turn 2
A: Ah, I was just trying to make you feel younger! At my favourite cafe:

Barista: It's your birthday today? You must be like, 30, right?

I'm 23 but no hard feelings... What can I get for the birthday star today?
B: I'll take my usual latte, but maybe with an extra shot of espresso to celebrate!","At my favourite cafe:

Barista: It's your birthday today? You must be like, 30, right?

I'm 23 but no hard feelings...",not sarcastic,2,"A was sharing a personal anecdote about a similar situation they experienced at their favorite cafe, where the barista mistakenly guessed their age to be older. This was not meant to be sarcastic but rather to relate to B's situation humorously.",1,True,414
54,"Turn 1
A: You know, I used to be so anxious about the lockdowns and all the restrictions. It felt like the world was closing in on me.
B: I totally get that. It was such a stressful time. I remember feeling overwhelmed by all the uncertainty.

Turn 2
A: But now, I feel like I've become more accepting of the situation. I'm sure I'm getting more laid back about the whole virus thing.  There is speculation about a possible lockdown after Christmas, and I've got to the stage of ""never mind, we've had 3 already...""If another lockdown happens, I think I'd handle it much better.
B: Same here. I think we've all learned to adapt in our own ways. For me, focusing on small daily routines really helped me cope with the changes.","I'm sure I'm getting more laid back about the whole virus thing.  There is speculation about a possible lockdown after Christmas, and I've got to the stage of ""never mind, we've had 3 already...""",not sarcastic,2,"A's statement reflects a genuine shift in attitude towards the situation, indicating acceptance and a more relaxed approach. There is no indication of sarcasm in A's tone.",1,True,725
5,"Turn 1
A: Man, last night was wild! I can't believe we ended up at that karaoke bar. Do you remember when I tried to sing ""Bohemian Rhapsody""?
B: Oh, I remember! You were really going for those high notes. It was hilarious. I think everyone in the bar was cheering you on.

Turn 2
A: Yeah, it was a blast. Drinks last night was a bit messy. May get some more beers tonight. Not sure though. I'm kind of tempted to do it all over again tonight. What do you think? Up for another round of chaos?
B: Hmm, it does sound tempting. But maybe we should take it easy tonight? My head's still spinning from last night. How about we just grab some drinks and chill instead?",Drinks last night was a bit messy. May get some more beers tonight. Not sure though.,not sarcastic,2,"Yes, I agree. A's statement about the drinks being messy and considering getting more beers tonight seems genuine and reflects their actual thoughts and experiences from the previous night. There is no indication of sarcasm in their tone or wording.",1,True,663
