statement,response,timestamp,question,Conversation,Statement,Answer
"Turn 1
A: You should've seen the match last night! There was this incredible moment when our striker dribbled past three defenders and scored from outside the box.
B: Wow, that sounds amazing! I can't believe I missed it. How did the crowd react?

Turn 2
A: The stadium went absolutely wild! Everyone was on their feet, cheering and chanting. It was one of those moments that gives you goosebumps.
B: That must have been electric. I really need to catch the highlights later. Eden Hazard's pass for Mata's 2nd goal yesterday was an absolute dream. Had the watch it about 5 times to believe it. Anything else that stood out?",positive,2024-10-01T16:56:01.852000+00:00,"What was the person's sentiment when they said ""Eden Hazard's pass for Mata's 2nd goal yesterday was an absolute dream. Had the watch it about 5 times to believe it."" during the conversation?","Turn 1
A: You should've seen the match last night! There was this incredible moment when our striker dribbled past three defenders and scored from outside the box.
B: Wow, that sounds amazing! I can't believe I missed it. How did the crowd react?

Turn 2
A: The stadium went absolutely wild! Everyone was on their feet, cheering and chanting. It was one of those moments that gives you goosebumps.
B: That must have been electric. I really need to catch the highlights later. Eden Hazard's pass for Mata's 2nd goal yesterday was an absolute dream. Had the watch it about 5 times to believe it. Anything else that stood out?",Eden Hazard's pass for Mata's 2nd goal yesterday was an absolute dream. Had the watch it about 5 times to believe it.,positive
"Turn 1
A: I'm really excited about this potential matchup. The fans are going to love it! But we need to make sure our striker can hit the weight limit. happy to put the fight together tomorrow if the Brazilian slugger can cut down to 135 pounds to face Rousey How's that looking on your end?
B: I've been in touch with his camp, and they're confident he can make the weight. We're setting up a nutritionist and a conditioning coach to ensure everything goes smoothly.

Turn 2
A: That's great to hear. We should also start thinking about the venue and promotion strategy. This fight has the potential to be huge.
B: Absolutely. I'll start scouting locations and work on the promotional materials. Let's make sure we have everything lined up to announce it as soon as he's confirmed at weight.

...",ambiguous,2024-10-01T16:51:58.946000+00:00,"What was the person's sentiment when they said ""happy to put the fight together tomorrow if the Brazilian slugger can cut down to 135 pounds to face Rousey"" during the conversation?","Turn 1
A: I'm really excited about this potential matchup. The fans are going to love it! But we need to make sure our striker can hit the weight limit. happy to put the fight together tomorrow if the Brazilian slugger can cut down to 135 pounds to face Rousey How's that looking on your end?
B: I've been in touch with his camp, and they're confident he can make the weight. We're setting up a nutritionist and a conditioning coach to ensure everything goes smoothly.

Turn 2
A: That's great to hear. We should also start thinking about the venue and promotion strategy. This fight has the potential to be huge.
B: Absolutely. I'll start scouting locations and work on the promotional materials. Let's make sure we have everything lined up to announce it as soon as he's confirmed at weight.

...",happy to put the fight together tomorrow if the Brazilian slugger can cut down to 135 pounds to face Rousey,ambiguous
"Turn 1
A: Remember that Thanksgiving party at Jake's place? That was wild! I don't think I've danced that much in ages.
B: Oh, absolutely! And the food was amazing. I still dream about those pumpkin spice cupcakes.

Turn 2
A: Yeah, this winter break has been pretty quiet in comparison. I love how Thanksgiving break had hella bangers and we're in the 2nd week of winter break and have failed to have one yet But hey, we could always plan something ourselves. How about a movie marathon night?
B: That sounds perfect! We can invite a few friends over and make it a cozy get-together. Let's make some hot cocoa and popcorn too!",neutral,2024-10-01T16:49:47.498000+00:00,"What was the person's sentiment when they said ""I love how Thanksgiving break had hella bangers and we're in the 2nd week of winter break and have failed to have one yet"" during the conversation?","Turn 1
A: Remember that Thanksgiving party at Jake's place? That was wild! I don't think I've danced that much in ages.
B: Oh, absolutely! And the food was amazing. I still dream about those pumpkin spice cupcakes.

Turn 2
A: Yeah, this winter break has been pretty quiet in comparison. I love how Thanksgiving break had hella bangers and we're in the 2nd week of winter break and have failed to have one yet But hey, we could always plan something ourselves. How about a movie marathon night?
B: That sounds perfect! We can invite a few friends over and make it a cozy get-together. Let's make some hot cocoa and popcorn too!",I love how Thanksgiving break had hella bangers and we're in the 2nd week of winter break and have failed to have one yet,neutral
"Turn 1
A: You missed an amazing Zumba class today! The new instructor was incredible.
B: Really? What made it so special?

Turn 2
A: She used some unexpected music choices, like mixing in some old-school hip-hop with the usual Latin beats. The 2nd instructor had the audacity to play Prince Delirious for one of the songs. I never thought of Prince and Zumba together but it works It was such a fun surprise!
B: That sounds awesome! I love when instructors mix things up. How did everyone else react?

...",ambiguous,2024-10-01T16:53:03.473000+00:00,"What was the person's sentiment when they said ""The 2nd instructor had the audacity to play Prince Delirious for one of the songs. I never thought of Prince and Zumba together but it works"" during the conversation?","Turn 1
A: You missed an amazing Zumba class today! The new instructor was incredible.
B: Really? What made it so special?

Turn 2
A: She used some unexpected music choices, like mixing in some old-school hip-hop with the usual Latin beats. The 2nd instructor had the audacity to play Prince Delirious for one of the songs. I never thought of Prince and Zumba together but it works It was such a fun surprise!
B: That sounds awesome! I love when instructors mix things up. How did everyone else react?

...",The 2nd instructor had the audacity to play Prince Delirious for one of the songs. I never thought of Prince and Zumba together but it works,ambiguous
"Turn 1
A: I noticed that the new single by that indie band is doing really well in Italy. It's interesting because it hasn't charted as high in other countries.
B: That's true. Italy has a unique music market. But you know, the song's explicit lyrics might be affecting its airplay in more conservative regions.

Turn 2
A: That makes sense. It must be tough for artists to balance their creative expression with the need to reach a wider audience.
B: Absolutely. They often have to decide whether to release a clean version or risk limited exposure. It's a tricky situation, especially for emerging artists trying to make a name for themselves. calibraska is 7th in Italy but no one can hear it because of the 'explicit'",ambiguous,2024-10-01T16:55:21.709000+00:00,"What was the person's sentiment when they said ""calibraska is 7th in Italy but no one can hear it because of the 'explicit'"" during the conversation?","Turn 1
A: I noticed that the new single by that indie band is doing really well in Italy. It's interesting because it hasn't charted as high in other countries.
B: That's true. Italy has a unique music market. But you know, the song's explicit lyrics might be affecting its airplay in more conservative regions.

Turn 2
A: That makes sense. It must be tough for artists to balance their creative expression with the need to reach a wider audience.
B: Absolutely. They often have to decide whether to release a clean version or risk limited exposure. It's a tricky situation, especially for emerging artists trying to make a name for themselves. calibraska is 7th in Italy but no one can hear it because of the 'explicit'",calibraska is 7th in Italy but no one can hear it because of the 'explicit',ambiguous
"Turn 1
A: Can't wait for the match this weekend! Liverpool's been on fire lately. Do you think Everton stands a chance?
B: Oh, come on! You know the Merseyside derby is always unpredictable. Plus, we've got some strong players this season. It's going to be a tough fight.

Turn 2
A: True, the rivalry always brings out the best in both teams. I'm just excited to see Salah and Mane in action again.
B: And I can't wait to see how our new signing performs. Super Sunday Football indeed! Love the Merseyside Derby! It's going to be an epic game, no matter what. Let's make sure we have plenty of snacks ready!",positive,2024-10-01T16:46:42.542000+00:00,"What was the person's sentiment when they said ""Super Sunday Football indeed! Love the Merseyside Derby!"" during the conversation?","Turn 1
A: Can't wait for the match this weekend! Liverpool's been on fire lately. Do you think Everton stands a chance?
B: Oh, come on! You know the Merseyside derby is always unpredictable. Plus, we've got some strong players this season. It's going to be a tough fight.

Turn 2
A: True, the rivalry always brings out the best in both teams. I'm just excited to see Salah and Mane in action again.
B: And I can't wait to see how our new signing performs. Super Sunday Football indeed! Love the Merseyside Derby! It's going to be an epic game, no matter what. Let's make sure we have plenty of snacks ready!",Super Sunday Football indeed! Love the Merseyside Derby!,positive
"Turn 1
A: You know, I've been getting a lot of compliments lately. It's kind of surprising.
B: Really? That's awesome! What kind of compliments are you getting?

Turn 2
A: Mostly about my appearance. People keep saying I look really refreshed and vibrant. Just got told I look like Sam smith for the 22nd time
B: That's fantastic! You do look great. What do you think has changed?

...",neutral,2024-10-01T16:54:10.518000+00:00,"What was the person's sentiment when they said ""Just got told I look like Sam smith for the 22nd time"" during the conversation?","Turn 1
A: You know, I've been getting a lot of compliments lately. It's kind of surprising.
B: Really? That's awesome! What kind of compliments are you getting?

Turn 2
A: Mostly about my appearance. People keep saying I look really refreshed and vibrant. Just got told I look like Sam smith for the 22nd time
B: That's fantastic! You do look great. What do you think has changed?

...",Just got told I look like Sam smith for the 22nd time,neutral
"Turn 1
A: It's just so hard to think about leaving everything behind. Ohio has been home for so long, and all my friends are here, including you.
B: I know, it's a big change. But remember, this new job is an amazing opportunity for you. And we'll always stay in touch, no matter where you are.

Turn 2
A: You're right, it's just the thought of not being able to hang out like this anymore that gets to me. I'll miss our coffee chats and all the little things. Wheww I leave Ohio June 3rd I don't even want to think about leaving
B: I'll miss them too, but we'll find new ways to stay connected. Plus, think of all the new experiences you'll have. And who knows, maybe I'll come visit you and we can explore your new city together.",ambiguous,2024-10-01T16:54:46.483000+00:00,"What was the person's sentiment when they said ""Wheww I leave Ohio June 3rd I don't even want to think about leaving"" during the conversation?","Turn 1
A: It's just so hard to think about leaving everything behind. Ohio has been home for so long, and all my friends are here, including you.
B: I know, it's a big change. But remember, this new job is an amazing opportunity for you. And we'll always stay in touch, no matter where you are.

Turn 2
A: You're right, it's just the thought of not being able to hang out like this anymore that gets to me. I'll miss our coffee chats and all the little things. Wheww I leave Ohio June 3rd I don't even want to think about leaving
B: I'll miss them too, but we'll find new ways to stay connected. Plus, think of all the new experiences you'll have. And who knows, maybe I'll come visit you and we can explore your new city together.",Wheww I leave Ohio June 3rd I don't even want to think about leaving,ambiguous
"Turn 1
A: I watched this amazing performance online last night. The artist had such incredible stage presence and their vocals were just out of this world.
B: That sounds awesome! Who was it? I love discovering new talent. How do they compare to some of the big names we know?

Turn 2
A: It was this new artist called Luna Ray. Honestly, she reminded me a bit of a young Adele with her powerful voice, but she also had this unique flair that made her stand out. Zayn reminds me of Rih. This may be blasphemous to say but I feel like he's about to be a male version of her which is good
B: Wow, that's high praise! If she has that kind of potential, I can definitely see her making it big. I'll have to check her out.",positive,2024-10-01T16:57:09.046000+00:00,"What was the person's sentiment when they said ""Zayn reminds me of Rih. This may be blasphemous to say but I feel like he's about to be a male version of her which is good"" during the conversation?","Turn 1
A: I watched this amazing performance online last night. The artist had such incredible stage presence and their vocals were just out of this world.
B: That sounds awesome! Who was it? I love discovering new talent. How do they compare to some of the big names we know?

Turn 2
A: It was this new artist called Luna Ray. Honestly, she reminded me a bit of a young Adele with her powerful voice, but she also had this unique flair that made her stand out. Zayn reminds me of Rih. This may be blasphemous to say but I feel like he's about to be a male version of her which is good
B: Wow, that's high praise! If she has that kind of potential, I can definitely see her making it big. I'll have to check her out.",Zayn reminds me of Rih. This may be blasphemous to say but I feel like he's about to be a male version of her which is good,positive
"Turn 1
A: I'm really looking forward to the concert next weekend. I hope the artist actually shows up this time. Man I hope she doesn't Frank Ocean us
B: Yeah, me too. I read online that they've canceled a few shows last minute before. Fingers crossed it doesn't happen this time.

Turn 2
A: It would be such a bummer if they canceled. But hey, at least we have a backup plan, right?
B: Absolutely! And who knows, maybe this time they'll surprise us and put on an amazing show. Let's stay optimistic!",positive,2024-10-01T16:45:48.782000+00:00,"What was the person's sentiment when they said ""Man I hope she doesn't Frank Ocean us"" during the conversation?","Turn 1
A: I'm really looking forward to the concert next weekend. I hope the artist actually shows up this time. Man I hope she doesn't Frank Ocean us
B: Yeah, me too. I read online that they've canceled a few shows last minute before. Fingers crossed it doesn't happen this time.

Turn 2
A: It would be such a bummer if they canceled. But hey, at least we have a backup plan, right?
B: Absolutely! And who knows, maybe this time they'll surprise us and put on an amazing show. Let's stay optimistic!",Man I hope she doesn't Frank Ocean us,positive
