statement,response,timestamp,question,Conversation,Statement,Answer
"Turn 1
A: Hey B! Guess what? I went to a Foo Fighters concert with Ginger last night, and it was AMAZING! Welcome to the 21st century, cuz! Ginger and I saw Foo Fighters last Sunday, here's a pic.
B: No way! That sounds incredible! How was the crowd? Did they play your favorite song?

Turn 2
A: The crowd was wild, and yes, they played ""Everlong""! I got a great pic of the stage. Check this out!
B: Wow, that looks epic! I wish I could've been there with you guys. We need to catch a concert together soon!",positive,2024-09-13T16:55:48.215000+00:00,"What was the person's sentiment when they said ""Welcome to the 21st century, cuz! Ginger and I saw Foo Fighters last Sunday, here's a pic."" during the conversation?","Turn 1
A: Hey B! Guess what? I went to a Foo Fighters concert with Ginger last night, and it was AMAZING! Welcome to the 21st century, cuz! Ginger and I saw Foo Fighters last Sunday, here's a pic.
B: No way! That sounds incredible! How was the crowd? Did they play your favorite song?

Turn 2
A: The crowd was wild, and yes, they played ""Everlong""! I got a great pic of the stage. Check this out!
B: Wow, that looks epic! I wish I could've been there with you guys. We need to catch a concert together soon!","Welcome to the 21st century, cuz! Ginger and I saw Foo Fighters last Sunday, here's a pic.",positive
"Turn 1
A: I recently watched a beauty pageant, and I was really impressed by the achievements of some of the past winners.
B: Oh, that's awesome! Did you know Olivia Jordan is one of the few who has won both Miss World - United States and Miss USA? It's such a rare and impressive feat in the pageant world.

Turn 2
A: Wow, I didn't know that! Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA. She... It must take a lot of dedication and talent to achieve something like that.
B: Absolutely. Olivia's journey is really inspiring. She not only excelled in pageantry but also used her platform to advocate for important causes. It's amazing to see how much impact one person can have.",positive,2024-09-13T16:55:39.091000+00:00,"What was the person's sentiment when they said ""Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA. She..."" during the conversation?","Turn 1
A: I recently watched a beauty pageant, and I was really impressed by the achievements of some of the past winners.
B: Oh, that's awesome! Did you know Olivia Jordan is one of the few who has won both Miss World - United States and Miss USA? It's such a rare and impressive feat in the pageant world.

Turn 2
A: Wow, I didn't know that! Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA. She... It must take a lot of dedication and talent to achieve something like that.
B: Absolutely. Olivia's journey is really inspiring. She not only excelled in pageantry but also used her platform to advocate for important causes. It's amazing to see how much impact one person can have.",Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA. She...,positive
"Turn 1
A: Ugh, I missed the show again last night because of those high school football games. I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF! It's so frustrating!
B: Oh no, that sucks! I know how much you look forward to watching it live.

Turn 2
A: Yeah, it's just not the same catching up later. I wish they would reschedule the games or something.
B: Totally get it. Maybe you could record the show and watch it as soon as the game ends? At least you wouldn't miss anything.",negative,2024-09-13T16:53:10.750000+00:00,"What was the person's sentiment when they said ""I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF!"" during the conversation?","Turn 1
A: Ugh, I missed the show again last night because of those high school football games. I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF! It's so frustrating!
B: Oh no, that sucks! I know how much you look forward to watching it live.

Turn 2
A: Yeah, it's just not the same catching up later. I wish they would reschedule the games or something.
B: Totally get it. Maybe you could record the show and watch it as soon as the game ends? At least you wouldn't miss anything.",I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF!,negative
"Turn 1
A: It's really heartening to see some leaders stepping up to help refugees. It gives me hope in humanity.
B: Absolutely. Angela Merkel's policies, for instance, have been so inspiring. She really showed what compassionate leadership looks like.

Turn 2
A: Yes, Merkel's approach was a beacon of hope during such turbulent times. I really want to thank Angela Merkel for letting all those refugees in. She shows what humanity is about. May God bless her I wish more leaders would follow her example.
B: Me too. If more leaders embraced that kind of empathy and action, imagine the positive change we could see globally.",positive,2024-09-13T16:54:49.761000+00:00,"What was the person's sentiment when they said ""I really want to thank Angela Merkel for letting all those refugees in. She shows what humanity is about. May God bless her"" during the conversation?","Turn 1
A: It's really heartening to see some leaders stepping up to help refugees. It gives me hope in humanity.
B: Absolutely. Angela Merkel's policies, for instance, have been so inspiring. She really showed what compassionate leadership looks like.

Turn 2
A: Yes, Merkel's approach was a beacon of hope during such turbulent times. I really want to thank Angela Merkel for letting all those refugees in. She shows what humanity is about. May God bless her I wish more leaders would follow her example.
B: Me too. If more leaders embraced that kind of empathy and action, imagine the positive change we could see globally.",I really want to thank Angela Merkel for letting all those refugees in. She shows what humanity is about. May God bless her,positive
"Turn 1
A: Hey, do you have any plans after work? I heard that Jake is in town.
B: Oh, really? I didn't know that. I was thinking of grabbing a drink somewhere. Do you know where he might be hanging out?

Turn 2
A: Not sure, but I heard he might be at The Blue Note. Where is going to be at tonight in Detroit? It's his favorite spot.
B: That makes sense. Want to check it out together? We might run into him there.",neutral,2024-09-13T16:55:26.663000+00:00,"What was the person's sentiment when they said ""Where is going to be at tonight in Detroit?"" during the conversation?","Turn 1
A: Hey, do you have any plans after work? I heard that Jake is in town.
B: Oh, really? I didn't know that. I was thinking of grabbing a drink somewhere. Do you know where he might be hanging out?

Turn 2
A: Not sure, but I heard he might be at The Blue Note. Where is going to be at tonight in Detroit? It's his favorite spot.
B: That makes sense. Want to check it out together? We might run into him there.",Where is going to be at tonight in Detroit?,neutral
"Turn 1
A: Hey B, thanks for your kind words! Always great to hear from a fellow Liverpudlian. How's it going?""Thank you for the message. I'm very proud to be a Liverpudlian, may i get your follback?
B: Wow, I can't believe you replied! It's going great, thanks. Liverpool pride all the way! Any chance of a follow-back?

Turn 2
A: Absolutely, mate! Just followed you back. Keep the Liverpool spirit alive!
B: Thanks so much! This means a lot. You'll never walk alone!",positive,2024-09-13T16:56:41.477000+00:00,"What was the person's sentiment when they said """"Thank you for the message. I'm very proud to be a Liverpudlian, may i get your follback?"" during the conversation?","Turn 1
A: Hey B, thanks for your kind words! Always great to hear from a fellow Liverpudlian. How's it going?""Thank you for the message. I'm very proud to be a Liverpudlian, may i get your follback?
B: Wow, I can't believe you replied! It's going great, thanks. Liverpool pride all the way! Any chance of a follow-back?

Turn 2
A: Absolutely, mate! Just followed you back. Keep the Liverpool spirit alive!
B: Thanks so much! This means a lot. You'll never walk alone!","""Thank you for the message. I'm very proud to be a Liverpudlian, may i get your follback?",positive
"Turn 1
A: You know, I'm really uncomfortable with how the sports community is handling the allegations against that athlete. It feels like they're more concerned about their image than addressing the issue seriously.
B: I get what you mean. It's frustrating to see the media and organizations tiptoe around it. They should be setting a higher standard for accountability.

Turn 2
A: Exactly. It's like they're afraid to take a stand because of the athlete's status. I've been thinking about it... Does anyone else find it disturbing how Kane may face rape charges and GM's are calling on his availability? But shouldn't ethics and responsibility come first, regardless of who it is?
B: Absolutely. If they don't address these issues head-on, it sends the wrong message. Athletes are role models, and the organizations have a duty to uphold integrity in sports.",negative,2024-09-13T16:52:56.190000+00:00,"What was the person's sentiment when they said ""I've been thinking about it... Does anyone else find it disturbing how Kane may face rape charges and GM's are calling on his availability?"" during the conversation?","Turn 1
A: You know, I'm really uncomfortable with how the sports community is handling the allegations against that athlete. It feels like they're more concerned about their image than addressing the issue seriously.
B: I get what you mean. It's frustrating to see the media and organizations tiptoe around it. They should be setting a higher standard for accountability.

Turn 2
A: Exactly. It's like they're afraid to take a stand because of the athlete's status. I've been thinking about it... Does anyone else find it disturbing how Kane may face rape charges and GM's are calling on his availability? But shouldn't ethics and responsibility come first, regardless of who it is?
B: Absolutely. If they don't address these issues head-on, it sends the wrong message. Athletes are role models, and the organizations have a duty to uphold integrity in sports.",I've been thinking about it... Does anyone else find it disturbing how Kane may face rape charges and GM's are calling on his availability?,negative
"Turn 1
A: Ugh, I can't believe how much work we have this week. Not going to be able to watch TVD live!!!!! I have two fucking tests tomorrow and a lit homework. FML I haven't even had time to catch up on our favorite show.
B: Yeah, it's been pretty brutal. I feel you. Maybe we can binge-watch it this weekend once things calm down a bit?

Turn 2
A: That sounds like a plan. I just need to get through this mountain of assignments first. Thanks for understanding.
B: No worries, we're in this together. Let me know if you need any help or just want to take a break and chat.",negative,2024-09-13T16:55:12.386000+00:00,"What was the person's sentiment when they said ""Not going to be able to watch TVD live!!!!! I have two fucking tests tomorrow and a lit homework. FML"" during the conversation?","Turn 1
A: Ugh, I can't believe how much work we have this week. Not going to be able to watch TVD live!!!!! I have two fucking tests tomorrow and a lit homework. FML I haven't even had time to catch up on our favorite show.
B: Yeah, it's been pretty brutal. I feel you. Maybe we can binge-watch it this weekend once things calm down a bit?

Turn 2
A: That sounds like a plan. I just need to get through this mountain of assignments first. Thanks for understanding.
B: No worries, we're in this together. Let me know if you need any help or just want to take a break and chat.",Not going to be able to watch TVD live!!!!! I have two fucking tests tomorrow and a lit homework. FML,negative
"Turn 1
A: I can't believe we're finally going to see Messi play tomorrow! im just excited to see messi tomorrow I've been counting down the days.
B: Same here! It's like a dream come true. I just hope he scores a goal or two. That would be amazing.

Turn 2
A: Absolutely! And I can't wait to see how he pairs up with the rest of the team. It's going to be electric.
B: For sure. Plus, the atmosphere in the stadium is going to be insane. We should get there early to soak it all in.",positive,2024-09-13T16:54:55.559000+00:00,"What was the person's sentiment when they said ""im just excited to see messi tomorrow"" during the conversation?","Turn 1
A: I can't believe we're finally going to see Messi play tomorrow! im just excited to see messi tomorrow I've been counting down the days.
B: Same here! It's like a dream come true. I just hope he scores a goal or two. That would be amazing.

Turn 2
A: Absolutely! And I can't wait to see how he pairs up with the rest of the team. It's going to be electric.
B: For sure. Plus, the atmosphere in the stadium is going to be insane. We should get there early to soak it all in.",im just excited to see messi tomorrow,positive
"Turn 1
A: I'm feeling a bit tired today, but thinking about the weekend is keeping me going.
B: Oh, nice! What do you have planned?

Turn 2
A: It's going to be a busy one! One more day of work tomorrow. Then Jason Aldean Concert!! Off Friday and Monday. Bills game Friday! Draft Sunday. Bring on this weekend! I'm going to a concert on Friday, a football game on Saturday, and a draft party on Sunday.
B: Wow, that sounds like a blast! Who's playing at the concert?",positive,2024-09-13T16:53:19.328000+00:00,"What was the person's sentiment when they said ""One more day of work tomorrow. Then Jason Aldean Concert!! Off Friday and Monday. Bills game Friday! Draft Sunday. Bring on this weekend!"" during the conversation?","Turn 1
A: I'm feeling a bit tired today, but thinking about the weekend is keeping me going.
B: Oh, nice! What do you have planned?

Turn 2
A: It's going to be a busy one! One more day of work tomorrow. Then Jason Aldean Concert!! Off Friday and Monday. Bills game Friday! Draft Sunday. Bring on this weekend! I'm going to a concert on Friday, a football game on Saturday, and a draft party on Sunday.
B: Wow, that sounds like a blast! Who's playing at the concert?",One more day of work tomorrow. Then Jason Aldean Concert!! Off Friday and Monday. Bills game Friday! Draft Sunday. Bring on this weekend!,positive
